Ulica,Nr,Obiekt,Nr_rej_zabytków
NADWIŚLAŃSKA,011,dom,
NADWIŚLAŃSKA,015,dom,
NADWIŚLAŃSKA,016,dom,
NADWIŚLAŃSKA,021,dom,
NADWIŚLAŃSKA,026,dom,
NADWIŚLAŃSKA,051,dom,
NADWIŚLAŃSKA,054,dom,
NADWIŚLAŃSKA,071,dom i budnek w głębi działki,
NADWIŚLAŃSKA,073,dom i budnek w głębi działki,
NADWIŚLAŃSKA,075,dom i budnek w głębi działki,
NADWIŚLAŃSKA,079,dom i budnek w głębi działki,
NADWIŚLAŃSKA,081,dom i budnek w głębi działki,
NADWIŚLAŃSKA,083,dom,
NADWIŚLAŃSKA,084,dom,
NADWIŚLAŃSKA,085,chata rybacka ?,
NADWIŚLAŃSKA,086,chata rybacka ?,
NADWIŚLAŃSKA,090,dom,,
NADWIŚLAŃSKA,090,dom,,
NADWIŚLAŃSKA,092,dom,,
NADWIŚLAŃSKA,093,dom i budnek w głębi działki,
NADWIŚLAŃSKA,096,chata rybacka ?,
NADWIŚLAŃSKA,097,chata rybacka ?,
NADWIŚLAŃSKA,098,chata rybacka ?,
NADWIŚLAŃSKA,103,dom,
NADWIŚLAŃSKA,107,dom,
NADWIŚLAŃSKA,108,dom,
NADWIŚLAŃSKA,108,dom,
NADWIŚLAŃSKA,111,dom,
NADWIŚLAŃSKA,117,dom,
NADWIŚLAŃSKA,120,dom,
NADWIŚLAŃSKA,122,dom,
NADWIŚLAŃSKA,124,chata rybacka ?,
NADWIŚLAŃSKA,125,chata rybacka ?,
NADWIŚLAŃSKA,126,chata rybacka ?,
NADWIŚLAŃSKA,127,chata rybacka ?,
NADWIŚLAŃSKA,128,chata rybacka ?,
NADWIŚLAŃSKA,130,dom,
NADWODNA,2 A/B,dom,
NADWODNA,4,dom,
NARCYZOWA,70,dom,
NARUTOWICZA Gabriela,11/12,zespół budowy Politechniki Gdańskiej ( gmach Główny, Instytut Chemi, Instytut Elektrotechniczny, laboratorium maszynowe z kotłownią, budynek gospodarczy- skład węgla, dom palacza, mieszkanie portiera, mieszkanie mechanika, umywalnia oraz aleja lipowa),969
NIECAŁA,1,dom,
NIECAŁA,7,dom,
NIECAŁA,13,dom,
NIEGOWO ,3,dom,
NIEGOWO ,3,budynek gospodarczy,
NIEGOWO ,4,dom,
NIEGOWO ,5,dom,
NIEGOWO ,5,budynek gospodarczy,
NIEGOWO ,7,dom,
NIEGOWO ,7,budynek gospodarczy,
NIEGOWO ,7,budynek gospodarczy,
NIEGOWO ,8,dom,
NIEGOWO ,8,budynek gospodarczy,
NIEGOWO ,10,dom,
NIEGOWO ,10,budynek gospodarczy,
NIEGOWO ,10,budynek gospodarczy,
NIEGOWO ,12,dom,
NIEGOWO ,12,budynek gospodarczy,
NIEGOWO ,13,dom,
NIEGOWO ,13,budynek gospodarczy,
NIEGOWO ,15,dom,
NIEMCEWICZA Juliana,1,dom,
NIEMCEWICZA Juliana,2,dom,
NIEMCEWICZA Juliana,3,dom,
NIEMCEWICZA Juliana,4,dom,
NIEMCEWICZA Juliana,5,dom,
NIEMCEWICZA Juliana,6,dom,
NIEMCEWICZA Juliana,7,dom,
NIEMCEWICZA Juliana,8,dom,
NIEMCEWICZA Juliana,9,dom,
NIEMCEWICZA Juliana,10,dom,
NIEMCEWICZA Juliana,11,dom,
NIEMCEWICZA Juliana,12,dom,
NIEMCEWICZA Juliana,13,dom,
NIEMCEWICZA Juliana,14,dom,
NIEMCEWICZA Juliana,15,dom,
NIEMCEWICZA Juliana,16,dom,
NIEMCEWICZA Juliana,17,dom,
NIEMCEWICZA Juliana,18,dom,
NIEMCEWICZA Juliana,19,dom,
NIEMCEWICZA Juliana,20,dom,
NIEMCEWICZA Juliana,22,dom,
NIEMCEWICZA Juliana,23,dom,
NIEMCEWICZA Juliana,24,dom,
NIEMCEWICZA Juliana,25,dom,
NIEMCEWICZA Juliana,26,dom,
NIEMCEWICZA Juliana,27,dom,
NIEMCEWICZA Juliana,28,dom,
NIEMCEWICZA Juliana,30,dom,
NISKA,9,dom,
NIWKI,1,dom,
NIWKI,2,dom,
NIWKI,3,dom,
NIWKI,4/6,dom,
NIWKI,8,dom,
NIWKI,10,dom,
NOAKOWSKIEGO Stanisława,4,dom,
NOAKOWSKIEGO Stanisława,5,dom,
NOAKOWSKIEGO Stanisława,7,dom,
NOAKOWSKIEGO Stanisława,8,dom,
NOAKOWSKIEGO Stanisława,9,willa, Konsulat Generalny Republiki Bialorusi w Gdańsku,
NORBLINA Piotra,27,dom,
NOWE OGRODY,03-5,d. szpital diakonisek, obecnie zespół Szpitala Wojewódzkiego,
NOWE OGRODY,03-5,d. szpital diakonisek, obecnie zespół Szpitala Wojewódzkiego - drugi budynek,
NOWE OGRODY,03-5,d. szpital diakonisek, obecnie zespół Szpitala Wojewódzkiego - trzeci budynek (kaplica),
NOWE OGRODY,03-5,d. szpital diakonisek, obecnie zespół Szpitala Wojewódzkiego - garaż,
NOWE OGRODY,06,d. szpital diakonisek, obecnie zespół Szpitala Wojewódzkiego,
NOWE OGRODY,07,dom  dr  G.L.Tornwaldta wraz z działka i odcinkiem muru,1799
NOWE OGRODY,27,Budynek Komisariatu Generalnego RP,1060
NOWE OGRODY,28/29,Budynek Sądu Apelacyjnego z brama i działką,1847
NOWE OGRODY,30-34,Budynek Sądu Wojewódzkiego,1058
NOWICKIEGO Edmunda bpa,1,zespół pocysterski: d. szafarnia [budynek Kurii Metropolilarnej],64
NOWICKIEGO Edmunda bpa,2,zespół pocysterski: d. spichlerz klasztorny [budynek Domu Diecezjalnego im. JP II],
NOWICKIEGO Edmunda bpa,4,zespół pocysterski: kościół pocysterski z klasztorem (katedra oliwska)],64
NOWICKIEGO Edmunda bpa,4,zespół pocysterski: mur klasztorny,64
NOWINY,2,zespół dworsko parkowy/dwór- park lodownia, dwa budynki gospodarcze ,718
NOWINY,36,dom,
NOWINY,38,dom,
NOWINY,42,dom,
NOWINY,61,dom,
NOWINY,75,dom i budynek w głębi działki,
NOWINY,76,dom,
NOWY PORT,,Układ urbanistyczny osady portowej w NOWYM PORCIE,1013
NOWOWIEJSKIEGO Feliksa,1,dom,
NOWOWIEJSKIEGO Feliksa,2,dom,
NOWOWIEJSKIEGO Feliksa,3,dom,
NOWOWIEJSKIEGO Feliksa,4,dom,
NOWOWIEJSKIEGO Feliksa,5,dom,
NOWOWIEJSKIEGO Feliksa,6,dom,
NOWOWIEJSKIEGO Feliksa,7,dom,
NOWOWIEJSKIEGO Feliksa,8,dom,
NOWOWIEJSKIEGO Feliksa,9,dom,
NOWOWIEJSKIEGO Feliksa,10,dom,
NOWOWIEJSKIEGO Feliksa,11,dom,
NOWOWIEJSKIEGO Feliksa,12,dom,
NOWOWIEJSKIEGO Feliksa,13,dom,
NOWOWIEJSKIEGO Feliksa,15,dom,
NOWOWIEJSKIEGO Feliksa,16,dom,
OBROŃCÓW WESTERPLATTE,3,dom,
OBROŃCÓW WESTERPLATTE,4,dom,
OBROŃCÓW WESTERPLATTE,5,dom z oficyną,
OBROŃCÓW WESTERPLATTE,6,dom,
OBROŃCÓW WESTERPLATTE,7,dom,
OBROŃCÓW WESTERPLATTE,8,dom,
OBROŃCÓW WESTERPLATTE,9,dom,
OBROŃCÓW WESTERPLATTE,10,dom,
OBROŃCÓW WESTERPLATTE,11,dom,
OBROŃCÓW WESTERPLATTE,12,dom,
OBROŃCÓW WESTERPLATTE,13,kamienica,1317
OBROŃCÓW WESTERPLATTE,14,dom,
OBROŃCÓW WESTERPLATTE,15,dom,
OBROŃCÓW WESTERPLATTE,16,dom z oficyną,
OBROŃCÓW WESTERPLATTE,17,dom,
OBROŃCÓW WESTERPLATTE,18,dom,
OBROŃCÓW WESTERPLATTE,19,dom,
OBROŃCÓW WESTERPLATTE,22,dom,
OBROŃCÓW WESTERPLATTE,23,dom,
OBROŃCÓW WESTERPLATTE,24,dom,
OBROŃCÓW WESTERPLATTE,28,dom,
OBROŃCÓW WESTERPLATTE,31,dom,
OBROŃCÓW WESTERPLATTE,33,dom,
OBROŃCÓW WESTERPLATTE,34,dom,
OBROŃCÓW WESTERPLATTE,35,kamienica,1315
OBROŃCÓW WESTERPLATTE,36,dom,
OBROŃCÓW WESTERPLATTE,37,kamienica,1318
OBYWATELSKA,1,dom,
ODRZAŃSKA,01,dom,
ODRZAŃSKA,2,dom,
ODRZAŃSKA,03,dom,
ODRZAŃSKA,05,dom,
ODRZAŃSKA,06,dom,
ODRZAŃSKA,07,dom,
ODRZAŃSKA,09,dom,
ODRZAŃSKA,10,dom,
ODRZAŃSKA,11,dom,
ODRZAŃSKA,12,dom,
ODRZAŃSKA,13,dom,
ODRZAŃSKA,14,dom,
ODRZAŃSKA,15,dom,
ODRZAŃSKA,16,dom,
ODRZAŃSKA,17,dom,
ODRZAŃSKA,18,dom,
ODRZAŃSKA,19,dom,
ODRZAŃSKA,20,dom,
ODRZAŃSKA,21,dom,
ODRZAŃSKA,22,dom,
ODRZAŃSKA,24,dom,
ODRZAŃSKA,26,dom,
ODRZAŃSKA,28,dom,
ODRZAŃSKA,29,dom,
ODRZAŃSKA,30,dom,
OGARNA ,26,kamienica z oficyną od ul. Za Murami 29. ,1602
OGARNA/ Za Murami,,Baszta Narożna,193
OGARNA,1,kamienica,
OGARNA,3 (3/4),kamienica,678
OGARNA,4 (3/4),kamienica,
OGARNA,5 (5/6),kamienica,
OGARNA,6 (5/6),kamienica,
OGARNA,7,kamienica,
OGARNA,8/9,kamienica,
OGARNA,8/9,kamienica,
OGARNA,10,kamienica,
OGARNA,10,kamienica,
OGARNA,11 (11/12),kamienica,679
OGARNA,11/12,kamienica,
OGARNA,17 (15/19A),kamienica,
OGARNA,18 (15/19A),KAMIENNICA,
OGARNA,19 (15/19A),kamienica,
OGARNA,15 (15/19B),KAMIENNICA,
OGARNA,16 (15/19B),KAMIENNICA,
OGARNA,16 (15/19C),KAMIENNICA,
OGARNA,16 (15/19C),KAMIENNICA,
OGARNA,16 (15/19C),KAMIENNICA,
OGARNA,20 (20/21),KAMIENNICA,
OGARNA,21 (20/21),KAMIENNICA,
OGARNA,22 (22/23),KAMIENNICA,
OGARNA,23 (22/23),KAMIENNICA,
OGARNA,24 (24/25),KAMIENNICA,
OGARNA,25 (24/25),KAMIENNICA,
OGARNA,27/28,KAMIENNICA,1600
OGARNA,29,KAMIENNICA,680
OGARNA,30,KAMIENNICA,681
OGARNA,31 (31/32),KAMIENNICA,682
OGARNA,32 (33/34),KAMIENNICA,
OGARNA,33 (33/34),KAMIENNICA,
OGARNA,34 (35/36),KAMIENNICA,
OGARNA,36 (35/36),KAMIENNICA,
OGARNA,37,KAMIENNICA,
OGARNA,39 (39/41),KAMIENNICA,
OGARNA,40 (39/41),KAMIENNICA,
OGARNA,41 (39/41),KAMIENNICA,
OGARNA,42 (42/43),KAMIENNICA,
OGARNA,43,KAMIENNICA,683
OGARNA,44,KAMIENNICA,684
OGARNA,44 (44/45),kamienica,
OGARNA,45 (44/45),kamienica,
OGARNA,46 (46/47),kamienica,
OGARNA,48 (48/50),kamienica,
OGARNA,49 (48/50),KAMIENNICA,
OGARNA,50 (48/50),KAMIENNICA,
OGARNA,51 (51/52),KAMIENNICA,
OGARNA,52 (51/52),KAMIENNICA,
OGARNA,56 d. 54,brama przy Pałacu Młodzieży,
OGARNA,57 (57/59),KAMIENNICA,
OGARNA,58 (57/59),KAMIENNICA,685
OGARNA,59 (57/59),KAMIENNICA,
OGARNA,60 (60/61),KAMIENNICA,
OGARNA,61 (60/61),KAMIENNICA,
OGARNA,62 (62/63),KAMIENNICA,
OGARNA,63 (62/63),KAMIENNICA,
OGARNA,64 (64/65),KAMIENNICA,
OGARNA,65 (64/65),KAMIENNICA,686
OGARNA,66 (66/67),KAMIENNICA,
OGARNA,67 (66/67),KAMIENNICA,
OGARNA,68,KAMIENNICA,
OGARNA,68,KAMIENNICA,
OGARNA,72,Brama Krowia,448
OGARNA,73 (73/75),KAMIENNICA,
OGARNA,74 (73/75),KAMIENNICA,
OGARNA,75 (73/75),KAMIENNICA,
OGARNA,76 (76/77),KAMIENNICA,
OGARNA,77 (76/77),KAMIENNICA,
OGARNA,78 (78/79),KAMIENNICA,
OGARNA,79 (78/79),KAMIENNICA,
OGARNA,81 (80/82),KAMIENNICA,
OGARNA,82 (80/82),KAMIENNICA,
OGARNA,80 (80/82),KAMIENNICA,
OGARNA,83 (83/84),KAMIENNICA,
OGARNA,84 (83/84),KAMIENNICA,
OGARNA,85 (85/86),KAMIENNICA,
OGARNA,86 (85/86),KAMIENNICA,
OGARNA,87 (87/88),KAMIENNICA,
OGARNA,88 (89/90),KAMIENNICA,
OGARNA,91 (91/92),KAMIENNICA,
OGARNA,93 (93/94),KAMIENNICA,
OGARNA,95,KAMIENNICA,
OGARNA,96,KAMIENNICA,
OGARNA,97,KAMIENNICA,
OGARNA,99 (99/100),KAMIENNICA,
OGARNA,100 (99/100),KAMIENNICA,
OGARNA,123,KAMIENNICA,
OGARNA,72 k.,KAMIENNICA,
OGARNA,85 (85/86),KAMIENNICA,
OGARNA,87 (87/88),KAMIENNICA,
OGARNA,89 (89/90),KAMIENNICA,
OGARNA,91 (91/92),KAMIENNICA,
OGARNA,93 (93/94),KAMIENNICA,
OGARNA,95,KAMIENNICA,
OGARNA,96,KAMIENNICA,
OGARNA,97,KAMIENNICA,
OGARNA,101 (101/102),KAMIENNICA,
OGARNA,102 (101/102),KAMIENNICA,
OGARNA,103 (103/105),KAMIENNICA,
OGARNA,105 (103/105),KAMIENNICA,
OGARNA,106 (106/108),KAMIENNICA,
OGARNA,107 (103/108),KAMIENNICA,
OGARNA,107,KAMIENNICA,
OGARNA,109 (109/110),KAMIENNICA,
OGARNA,110 (109/110),KAMIENNICA,
OGARNA,111 (111/112),KAMIENNICA,
OGARNA,112 (111/112),KAMIENNICA,
OGARNA,113,KAMIENNICA,
OGARNA,114 (114/115),KAMIENNICA,
OGARNA,116,KAMIENNICA,
OGARNA,116,KAMIENNICA,
OGARNA,117 (117/118),KAMIENNICA,
OGARNA,118 (117/118),KAMIENNICA,
OGARNA,119,KAMIENNICA,
OGARNA,120,KAMIENNICA,
OGARNA,121 (121/122),KAMIENNICA,
OGARNA,122 (121/122),KAMIENNICA,
OGARNA,123,KAMIENNICA,687
OGARNA,124 (124/125),KAMIENNICA,
OGARNA,125 (124/125),KAMIENNICA,
OGARNA,126,KAMIENNICA,
OGARNA,127,KAMIENNICA,
OGARNA,128,KAMIENICA,
OGIŃSKIEGO Michała,12,dom,
OGIŃSKIEGO Michała,13,dom,
OGRODOWA,2,dom,
OGRODOWA,2 k.,wiadukt k. Ogrodowa 2 i nasyp kolejowy,
OJCOWSKA,1,dom,
OJCOWSKA,2,dom,
OJCOWSKA,3,dom,
OJCOWSKA,4,dom,
OJCOWSKA,5,dom,
OJCOWSKA,6,dom,
OJCOWSKA,7,dom,
OJCOWSKA,8,dom,
OJCOWSKA,9,dom,
OJCOWSKA,10,dom,
OJCOWSKA,11,dom,
OJCOWSKA,12,dom,
OJCOWSKA,13,dom,
OJCOWSKA,14,dom,
OJCOWSKA,15,dom,
OJCOWSKA,16,dom,
OJCOWSKA,17,dom,
OJCOWSKA,18,dom,
OJCOWSKA,19,dom,
OJCOWSKA,20,dom,
OJCOWSKA,21,dom,
OJCOWSKA,22,dom,
OJCOWSKA,23,dom,
OJCOWSKA,24,dom,
OJCOWSKA,25,dom,
OJCOWSKA,26,dom,
OJCOWSKA,27,dom,
OJCOWSKA,28,dom,
OJCOWSKA,29,dom,
OJCOWSKA,30,dom,
OJCOWSKA,31,dom,
OJCOWSKA,32,dom,
OJCOWSKA,33,dom,
OJCOWSKA,34,dom,
OJCOWSKA,35,dom,
OJCOWSKA,36,dom,
OJCOWSKA,37,dom,
OJCOWSKA,38,dom,
OJCOWSKA,39,dom,
OJCOWSKA,40,dom,
OJCOWSKA,41,dom,
OJCOWSKA,42,dom,
OJCOWSKA,43,dom,
OJCOWSKA,44,dom,
OJCOWSKA,45,dom,
OJCOWSKA,46,dom,
OJCOWSKA,47,dom,
OJCOWSKA,48,dom,
OJCOWSKA,49,dom,
OJCOWSKA,50,dom,
OJCOWSKA,51,dom,
OJCOWSKA,52,dom,
OJCOWSKA,53,dom,
OJCOWSKA,54,dom,
OJCOWSKA,55,dom,
OJCOWSKA,56,dom,
OJCOWSKA,57,dom,
OJCOWSKA,58,dom,
OJCOWSKA,59,dom,
OJCOWSKA,60,dom,
OJCOWSKA,61,dom,
OJCOWSKA,62,dom,
OJCOWSKA,63,dom,
OJCOWSKA,64,dom,
OJCOWSKA,65,dom,
OJCOWSKA,66,dom,
OJCOWSKA,67,dom,
OJCOWSKA,68,dom,
OJCOWSKA,69,dom,
OJCOWSKA,70,dom,
OJCOWSKA,71,dom,
OJCOWSKA,72,dom,
OJCOWSKA,73,dom,
OJCOWSKA,74,dom,
OJCOWSKA,75,dom,
OJCOWSKA,76,dom,
OJCOWSKA,77,dom,
OJCOWSKA,78,dom,
OJCOWSKA,79,dom,
OJCOWSKA,80,dom,
OJCOWSKA,81,dom,
OJCOWSKA,82,dom,
OJCOWSKA,83,dom,
OJCOWSKA,84,dom,
OJCOWSKA,85,dom,
OJCOWSKA,86,dom,
OJCOWSKA,87,dom,
OJCOWSKA,88,dom,
OJCOWSKA,89,dom,
OJCOWSKA,90,dom,
OJCOWSKA,91,dom,
OJCOWSKA,92,dom,
OJCOWSKA,93,dom,
OJCOWSKA,94,dom,
OJCOWSKA,95,dom,
OJCOWSKA,96,dom,
OJCOWSKA,97,dom,
OJCOWSKA,98,dom,
OJCOWSKA,99,dom,
OJCOWSKA,100,dom,
OJCOWSKA,101,dom,
OJCOWSKA,102,dom,
OJCOWSKA,103,dom,
OJCOWSKA,104,dom,
OJCOWSKA,105,dom,
OJCOWSKA,106,dom,
OJCOWSKA,107,dom,
OJCOWSKA,108,dom,
OJCOWSKA,109,dom,
OJCOWSKA,110,dom,
OKOPOWA,01,Bank Rzeszy, ob.. NBP,1251
OKOPOWA,02,kamienica,
OKOPOWA,03,d. nr 9, kamienica, Bank PKO BP,1603
OKOPOWA,05,d. nr 8,kamienica,
OKOPOWA,07,d. nr 7, kamienica,
OKOPOWA,09,d. Prezydium Policji (budynek główny, budynek mieszkalny, areszt, łączniki lewy i prawy, fragment muru), ob.UOP ,1650
OKOPOWA,15,Komenda Wojewódzka Policji w Gdańsku,
OKOPOWA,15,Komenda Wojewódzka Policji w Gdańsku,
OKOPOWA,17,kamienica czynszowa,1846
OKOPOWA,17 A,kamienica czynszowa,1846
OKOPOWA/ Rzeźnicka,,Sala Okrągła Urzędu Wojewódzkiego,
OKOPOWA,21-27,URZAD WOJEWÓDZKI I MARSZALKOWSKI,
OKSYWSKA,2,dom,
OKSYWSKA,5 A,dom,
OKSYWSKA,7,dom,
OKSYWSKA,9 A,dom,
OKSYWSKA,9 B,drugi dom,
OLIWA,,uklad urbanistyczny Starej Oliwy wraz z zespolem Potoku Oliwskiego,850
OLIWSKA,2,kościół  oo franciszkanów,1092
OLIWSKA,33,dom,
OLIWSKA,33 B,budynek gospodarczy,
OLIWSKA,34 B,dom,
OLIWSKA,34 C,budynek gospodarczy,
OLIWSKA ,35,budynek nr 1 - dawny zespół koszarowy,
OLIWSKA ,35,budynek nr 2 - dawny zespół koszarowy,
OLIWSKA ,35,budynek nr 3 - dawny zespół koszarowy,
OLIWSKA ,35,budynek nr 4 - dawny zespół koszarowy,
OLIWSKA ,35,budynek nr 5 - dawny zespół koszarowy,
OLIWSKA ,35,budynek nr 6 - dawny zespół koszarowy,
OLIWSKA ,35,budynek nr 7 - dawny zespół koszarowy (d.stajnia, kaplica polska),
OLIWSKA ,35,budynek nr 8 - dawny zespół koszarowy (sala gimnastyczna),
OLIWSKA ,35,budynek nr 9 - dawny zespół koszarowy (warsztat),
OLIWSKA ,35,budynek nr 23 - dawny zespół koszarowy,
OLIWSKA,53/54,dom,
OLIWSKA,55,dom,
OLIWSKA,63,dom,
OLIWSKA,64,dom,
OLIWSKA,65,dom,
OLIWSKA,66,dom,
OLIWSKA,46.68/2,dom,
OLSZEWSKIEGO Karola,2/3,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,4/5,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,6/7,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,8/9,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,8/9k.,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,10,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,11,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,12,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,13/14,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,15/16,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,17,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,18,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,19,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,20,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,21/22,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,23/24,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZEWSKIEGO Karola,31,kolonia domów robotniczych Fundacji dr Abegga,961
OLSZYŃSKA,37,dwór ,767
OLSZYŃSKA,37,budynki gospodarcze przy dworze,
OŁOWIANKA,01,zespół  elektrowni Ołowianka (budynek główny ob. Filharmonia, budynek socjalny), ,529
OŁOWIANKA,01 A,budynek mieszkalny ,529
OŁOWIANKA,01 B C,budynek mieszkalny ,529
OŁOWIANKA,09-13,zespół spichlerzy : Oliwski, Panna, Miedź-obecnie Centralne Muzeum Morskie,479
OŁOWIANKA,14,spichlerz Królewski  ob..hotel (d. zespół elektrowni),529
OPACKA,3,dom,
OPACKA,5,dom ob.. Dom zakonny oo franciszkanów,
OPACKA,7,bud. szkoły,
OPACKA,9,pastorówka, ob.. Dom mieszkalny,
OPACKA,10,zespół pocysterski: d. stajnia,64
OPACKA,11,dom,
OPACKA,12,tzw. dworek Saltzmanna, obecnie siedziba DORACO,13
OPACKA,12 A,bud. gospodarczy przy dworku,
OPACKA,,cmentarz (katolicki i ewangelicki): kaplica przedpogrzebowa, kostnica,1079
OWSIANA,1,budynek mieszkalny,
OWSIANA,1A,budynek mieszkalny,
OWSIANA,2,budynek mieszkalny,
OWSIANA,3,budynek mieszkalny,
RYBIŃSKIEGO Opata Jacka,,park im. A. Mickiewicza, d. opacki,64
RYBIŃSKIEGO Opata Jacka,,palmiarnia,64
RYBIŃSKIEGO Opata Jacka,6,dom,
RYBIŃSKIEGO Opata Jacka,7,dom,
RYBIŃSKIEGO Opata Jacka,12,dom,
RYBIŃSKIEGO Opata Jacka,17,dom,
RYBIŃSKIEGO Opata Jacka,18,dom,
RYBIŃSKIEGO Opata Jacka,22,dom,
RYBIŃSKIEGO Opata Jacka,25,dom,
OPŁOTKI,18,dom,
OPŁOTKI,22,dom,
OPŁYW MOTŁAWY,,zespół Bastionów Dolnego Miasta - tzw. Opływ Motławy / Bastion św Gertrudy, Żubr, Wilk, Wyskok, Miś, Królik/,419
ORKANA Władysława,1,dom,
ORKANA Władysława,3,dom,
ORKANA Władysława,4,dom,
ORKANA Władysława,7,dom,
ORKANA Władysława,9,dom,
ORKANA Władysława,10/11,dom,
ORLA,1A,budynek mieszkalny ,
ORLA,1B,budynek mieszkalny ,
ORNITOLOGÓW,04,zespół tzw. Forsterówki: drugi budynek,
ORNITOLOGÓW,07,zespół tzw. Forsterówki: domek myśliwski,
ORNITOLOGÓW,11 B,dom,
ORNITOLOGÓW,12,drugi budynek,
ORNITOLOGÓW,12 A,mur między budynkami,
ORNITOLOGÓW,14,dom,
ORNITOLOGÓW,14 ,budynek gospodarczy,
ORNITOLOGÓW,16,dom,
ORNITOLOGÓW,16,budynek gospodarczy,
ORNITOLOGÓW,26,dworzec hydroplanów, ob.. Stacja biologii UG,
ORNITOLOGÓW,28,dom,
ORNITOLOGÓW,28 A,budynek gospodarczy,
ORNITOLOGÓW,30,dom,
ORNITOLOGÓW,30,budynek gospodarczy,
ORZESZKOWEJ Elizy,2,dom,
ORZESZKOWEJ Elizy,3,dom,
ORZESZKOWEJ Elizy,3 A,dom,
ORZESZKOWEJ Elizy,5 A,dom,
ORZESZKOWEJ Elizy,7,dom,
ORZESZKOWEJ Elizy,9,dom,
ORZESZKOWEJ Elizy,11,dom,
ORZESZKOWEJ Elizy,15,dom,
ORZESZKOWEJ Elizy,17,dom,
ORZESZKOWEJ Elizy,19,dom,
ORZESZKOWEJ Elizy,23,dom,
OSIEK,6,kamienica,
OSIEK,7,kamienica,
OSIEK,8,kamienica,
OSIEK,9,kamienica,
OSIEK,10,kamienica,
OSIEK,11,łaźnia z sala gimnastyczną ob. Liceum Autonomiczne ,
OSIEK,12,gimnazjum i Liceum Autonomiczne,
OSIEK,12,gimnazjum i Liceum Autonomiczne, drugi budynek,
OSIEK,19-20,kamienica,
OTWARTA,10/12,dom w zespole,
OTWARTA,13/15,dom w zespole,
OTWARTA,30,dom w zespole,
OTWARTA,32,dom w zespole,
OTWARTA,34,dom w zespole,
OTWARTA,36,dom w zespole,
OWCZARNIA,38,układ siedliska folwarku,
OWCZARNIA,39,starodrzew,
OWCZARNIA,40,fragment d. domeny folwarku Owczarnia, starodrzew,
OWCZARNIA,51,d. budynek straży granicznej,
OWCZARNIA,51 k.,budynek gospodarczy,
OWCZARNIA,53,leśniczówka,
OWCZARNIA,53,budynek gospodarczy leśniczówki,
OWCZARNIA,53 k.,2 budynek gospodarczy leśniczówki,
OWCZARNIA,61-63,dom,
OWCZARNIA,61-65,d. stajnia,
OWCZARNIA,67,dom,
OWCZARNIA,77,dom,
OWCZARNIA,79,dom,
OWCZARNIA,79-81,dom,
OWCZARNIA,81 k.,dom,
OWCZARNIA,83,dom,
PACHOŁÓW,1,dom,
PANA TADEUSZA ,13,dom,
PANA TADEUSZA ,23,dom,
PANA TADEUSZA ,25,dom,
PANA TADEUSZA ,27,dom,
PANA TADEUSZA ,32,dom,
PANA TADEUSZA ,47,dom,
PANA TADEUSZA ,51,dom,
PANA TADEUSZA ,51,budynek gospodarczy,
PANA TADEUSZA ,84,dom,
PANA TADEUSZA ,88,dom,
PANA TADEUSZA ,90,dom,
PANA TADEUSZA ,90,dom,
PANA TADEUSZA ,92,dom,
PANA TADEUSZA ,96,dom,
PANA TADEUSZA ,104,dom,
PANA TADEUSZA ,108,dom,
PANA TADEUSZA ,114,dom,
PANA TADEUSZA ,118/120,dom,
PANA TADEUSZA ,124,dom,
PANA TADEUSZA ,126,dom,
PANA TADEUSZA ,128,dom,
PANA TADEUSZA ,130,dom,
PANA TADEUSZA ,134,bud. gosp.,
PANA TADEUSZA ,134,dom,
PANIEŃSKA,3 A,dom,
PANIEŃSKA,22,dom,
PANIEŃSKA,23 k.,bud. gosp./garaż,
PANIEŃSKA,23-24,dom,
PANIEŃSKA,30,dom,
PAŃSKA,1,baszta Jacek,420
PAŃSKA,2,dom,
PAŃSKA,3,dom,
PAŃSKA,4,dom,
PAŃSKA,5,dom,
PAŃSKA,6,dom,
PAŃSKA,7 (7/8),dom,
PAŃSKA,9/11,dom,
PAŃSKA,1,dom,
PARTYZANTÓW,025,dom,
PARTYZANTÓW,6,d. zajezdnia tramwajowa,
